route_id,NTACode
SIM35,SI0201
SIM35,BK1061
SIM35,BK1001
SIM35,BK1002
SIM35,BK0703
SIM35,BK0702
SIM35,BK0601
SIM35,
SIM35,SI0103
SIM35,SI0104
SIM32,SI0204
SIM32,SI0203
SIM32,BK1002
SIM32,
SIM32,MN0102
SIM32,BK1001
SIM32,SI0105
SIM30,SI0104
SIM30,SI0106
SIM30,SI0105
SIM30,
SIM30,MN0402
SIM30,MN0502
SIM30,MN6491
SIM30,SI0103
SIM30,SI0102
SIM30,MN0401
SIM30,SI0204
S40,SI0101
S40,SI0191
S40,SI0104
S40,SI0106
S40,
S40,SI0204
S90,SI0101
S90,SI0104
S90,SI0106
S90,
S90,SI0204
SIM33C,
SIM33C,SI0204
SIM33C,SI0203
SIM33C,SI0201
SIM33C,BK1061
SIM33C,BK1001
SIM33C,BK1002
SIM33C,MN0102
SIM33C,MN0201
SIM33C,MN0202
SIM33C,MN0501
SIM33C,MN0502
SIM33C,MN6491
SIM33C,SI0103
SIM33C,SI0105
SIM33,
SIM33,SI0204
SIM33,SI0203
SIM33,BK1061
SIM33,BK1001
SIM33,BK1002
SIM33,MN0102
SIM33,MN0201
SIM33,MN0202
SIM33,MN0501
SIM33,MN0203
SIM33,SI0105
SIM3C,MN6491
SIM3C,MN0502
SIM3C,MN0501
SIM3C,MN0202
SIM3C,MN0201
SIM3C,MN0102
SIM3C,
SIM3C,BK1001
SIM3C,SI0103
SIM3C,SI0105
SIM3C,SI0106
SIM3,SI0106
SIM3,
SIM3,SI0105
SIM3,SI0203
SIM3,BK1061
SIM3,BK1002
SIM3,MN0301
SIM3,MN0602
SIM3,MN0501
SIM3,MN0502
SIM3,MN6491
SIM3,BK1001
SIM3C,SI0201
SIM3C,BK1061
SIM3C,BK1002
S66,SI0101
S66,SI0104
S66,SI0105
S66,SI0106
S66,SI0102
S53,SI0106
S53,SI0104
S53,SI0105
S53,SI0203
S53,SI0201
S53,BK1001
S93,BK1001
S93,SI0103
S93,SI0104
S93,SI0105
S93,SI0204
S93,SI0201
S52,SI0202
S52,SI0201
S52,SI0103
S52,SI0102
S52,SI0104
S52,SI0101
S42,SI0101
S42,SI0104
S48,SI0101
S48,SI0104
S48,SI0106
S48,SI0105
S48,
S48,SI0102
S46,SI0204
S46,
S46,SI0106
